epoch,accuracy
1.000000000000000000e+00,2.961666666666666892e-01
2.000000000000000000e+00,4.000000000000000222e-01
3.000000000000000000e+00,4.248333333333333406e-01
4.000000000000000000e+00,4.491666666666666585e-01
5.000000000000000000e+00,4.710833333333333539e-01
6.000000000000000000e+00,4.922500000000000209e-01
7.000000000000000000e+00,5.088333333333333597e-01
8.000000000000000000e+00,5.146666666666667167e-01
9.000000000000000000e+00,5.273333333333333206e-01
1.000000000000000000e+01,5.314999999999999725e-01
1.100000000000000000e+01,5.442500000000000115e-01
1.200000000000000000e+01,5.530000000000000471e-01
1.300000000000000000e+01,5.574999999999999956e-01
1.400000000000000000e+01,5.651666666666667060e-01
1.500000000000000000e+01,5.747499999999999831e-01
1.600000000000000000e+01,5.799166666666666359e-01
1.700000000000000000e+01,5.868333333333333179e-01
1.800000000000000000e+01,5.923333333333333783e-01
1.900000000000000000e+01,5.970833333333332993e-01
2.000000000000000000e+01,6.006666666666666821e-01
